stars;forks;commits;branches;pull requests all;pull requests open;pull requests closed;contributors;watchers;issues;topics;license name;;
1;1;7;1;0;0;0;1;1;0;teaching-materials;MIT License;;
0;0;15;1;0;0;0;1;0;0;course-material;No License;;
13;0;9;1;0;0;0;1;13;0;mooc;MIT License;;
0;5;20;1;0;0;0;1;0;0;university-course;No License;;
6;2;841;2;1;0;1;1;6;0;teaching-materials;MIT License;;
18;21;596;1;0;0;0;1;18;0;course-materials;No License;;
2;0;293;6;1;0;1;2;2;0;teaching-materials;MIT License;;
0;0;6;1;0;0;0;1;0;0;training-material;Apache License 2.0;;
4;2;20;1;0;0;0;1;4;0;textbook;No License;;
0;1;11;2;1;0;1;2;0;0;teaching-materials;MIT License;;
0;0;10;1;0;0;0;1;0;0;teaching-materials;No License;;
0;0;181;3;2;2;0;2;0;2;lecture;No License;;
96;44;277;3;2;0;2;1;96;0;educational-materials;MIT License;;
0;0;15;2;11;0;11;1;0;0;course-materials;MIT License;;
4;1;40;3;0;0;0;2;4;0;teaching-materials;No License;;
15;1;17;3;1;0;1;1;15;0;lecture-slides;No License;;
0;1;25;1;7;0;7;1;0;0;educational-resources;GNU General Public License v3.0;;
78;90;87;2;1;0;1;1;78;0;mooc;No License;;
3;2;24;1;0;0;0;1;3;0;textbook;No License;;
87;28;286;1;1;0;1;3;87;0;course-materials university-course;No License;;
10;4;50;1;0;0;0;1;10;0;teaching-materials;No License;;
0;0;28;1;0;0;0;1;0;0;university-course;GNU General Public License v3.0;;
1;0;6;1;0;0;0;1;1;0;presentation-materials;MIT License;;
0;2;10;1;0;0;0;1;0;0;teaching-materials;No License;;
2;2;24;1;0;0;0;1;2;0;course-materials;No License;;
3;1;34;1;2;0;2;1;3;0;course-materials;No License;;
12;14;35;1;0;0;0;1;12;2;online-learning;No License;;
1;1;21;1;0;0;0;0;1;0;teaching-materials;MIT License;;
0;0;48;1;0;0;0;1;0;0;educational-materials;No License;;
0;0;44;1;0;0;0;1;0;0;teaching-materials;No License;;
1;0;4;1;0;0;0;1;1;0;course-materials;No License;;
1;1;11;1;0;0;0;1;1;1;course-materials;No License;;
31;6;90;1;3;2;1;4;31;2;presentation-materials;Creative Commons Attribution Share Alike 4.0 International;;
1;0;78;1;0;0;0;1;1;0;mooc;No License;;
23;8;205;4;7;0;7;3;23;23;training-materials;MIT License;;
56;10;84;3;5;0;5;2;56;0;course-materials;MIT License;;
1;11;15;1;0;0;0;1;1;1;moocs;No License;;
8;15;32;1;0;0;0;1;8;0;moocs;No License;;
17;2;273;1;5;0;5;2;17;0;textbook;No License;;
8;23;36;2;0;0;0;1;8;0;mooc;No License;;
0;0;3;1;0;0;0;1;0;0;university-course;No License;;
6;3;34;1;3;0;3;2;6;0;training-materials;Other;No License description;
13;9;47;1;0;0;0;1;13;0;lecture;No License;;
3;0;14;1;0;0;0;2;3;0;training-materials;MIT License;;
118;60;36;1;1;1;0;1;118;1;moocs;No License;;
8;4;52;4;6;0;6;3;8;0;training-materials;No License;;
3;13;56;1;8;0;8;8;3;0;educational-resources course-materials;No License;;
23;25;117;2;0;0;0;1;23;0;teaching-materials;No License;;
0;0;16;1;0;0;0;1;0;0;university-course;No License;;
0;1;7;1;1;0;1;2;0;0;presentation-slides;MIT License;;
6;7;15;1;5;0;5;1;6;0;workshop-materials;MIT License;;
1;9;6;1;5;3;2;3;1;3;course-materials;No License;;
18;4;5;1;0;0;0;1;18;0;teaching-materials;MIT License;;
0;4;24;1;0;0;0;1;0;0;course-material;GNU General Public License v3.0;;
0;0;6;1;0;0;0;1;0;0;university-course;No License;;
6;1;7;1;0;0;0;1;6;0;lecture-slides;No License;;
0;0;3;1;0;0;0;1;0;0;moocs;No License;;
12;4;14;1;0;0;0;1;12;0;mooc;No License;;
0;0;1;1;0;0;0;1;0;0;presentation-slides;No License;;
0;1;18;2;2;0;2;1;0;0;training-materials teaching-materials;No License;;
0;0;14;2;1;0;1;1;0;0;lecture;GNU General Public License v3.0;;
21;16;131;1;0;0;0;1;21;0;lecture;"BSD 3-Clause ""New"" or ""Revised"" License";;
0;14;17;1;1;0;1;3;0;1;training-materials;MIT License;;
0;6;21;1;6;0;6;5;0;0;teaching-materials;Other;No License description;
2;4;122;3;0;0;0;1;2;4;course-materials;Other;No License description;
8;5;29;1;0;0;0;1;8;0;course-materials;No License;;
5;2;196;1;1;0;1;1;5;0;lecture-material lecture-slides;GNU Affero General Public License v3.0;;
0;0;32;1;0;0;0;3;0;0;university-course;No License;;
1;1;68;2;0;0;0;1;1;0;educational-materials;No License;;
