file types
.sample .idx .md .pack .py
.crt .xml .wixproj .key .yml .txt .bat .pdf .ps1 .map .py .gif .css .Master .adoc .php .feature .less .swf .wxs .eot .woff2 .svg .pack .v2 .ini .yaml .html .pot .sqlproj .refactorlog .tpl .cs .json .gz .png .config .csproj .md .PNG .jar .ttf .builder .java .woff .ico .otf .jpg .sample .properties .js .sh .jsp .xap .idx .sql .aspx .ascx .swp .scss .sln .v1 .asax
.sample .rb .j2 .odp .yml .sh .cfg .lesson1 .idx .pdf .md .tex .pack .ini .yaml
.properties .sample .form .idx .png .md .pack .java .gif .MF
.pdf .py .gif .arff .mp3 .pptx .drawio .xlsx .pack .docx .data .ipynb .JPG .csv .png .md .names .jpg .wav .sample .idx .jpeg .mp4
.sample .ipynb .cfg .txt .csv .pdf .md .xlsx .xls .py .gml .pyc
.jpg .blend .docx .sample .sty .psd .txt .bib .idx .pdf .png .md .tex .pack .blend1
.jpg .sample .ipynb .txt .idx .md .pack
.jpg .sample .ipynb .js .css .json .pdf .png .pkl .svg .md .idx .pack .py .gif .blp .html
.sample .docx .txt .rtf .pptx .pdf .md .java
.jpg .sample .yml .idx .png .toml .scss .md .pack .html
.sample .csl .bib .idx .csv .Rmd .md .pack
.odg .sample .jpg .xml .service .yml .sh .idx .png .svg .md .timer .pack .mkv
.sample .R .csv .pdf .md .html
.sample .txt .json .idx .md .pack .clj
.sample .idx .md .pack
.jpg .sample .js .eot .json .idx .png .svg .md .scss .pack .css .gif .ttf .woff .html
.sample .md .java
.yml .txt .map .zip .css .rdx .eot .woff2 .svg .pack .html .rdb .csv .png .Rmd .md .ttf .woff .jpg .sample .js .RData .idx
.jpg .sample .yml .bib .js .txt .eot .woff2 .idx .png .Rmd .md .svg .map .ttf .css .pack .woff .html
.yml .pdf .map .css .rdx .eot .woff2 .svg .pack .yaml .html .rdb .csv .png .Rmd .md .ttf .woff .jpg .sample .js .RData .idx
.sample .lock .js .snap .markdown .json .pdf .png .idx .svg .md .bmpr .css .gif .todo .pack .ico .html
